skill_id,skill_name,normalized_name,skill_category,skill_type
SK_00118,Data Science,data science,AI/ML,technical
SK_00119,Data Scraping,data scraping,Data Engineering,technical
SK_00120,Data Validation,data validation,Cloud,technical
SK_00121,Data Visualization,data visualization,Database Management,technical
SK_00122,Data Warehousing,data warehousing,Data Engineering,technical
SK_00123,Data-Driven Design,data-driven design,UI/UX,technical
SK_00124,Database Design,database design,Database Management,technical
SK_00125,Database Indexing,database indexing,Database,technical
SK_00126,Database Triggers,database triggers,Database,technical
SK_00127,Database Tuning,database tuning,Database,technical
SK_00128,Databricks,databricks,Data Engineering,technical
SK_00129,Date Handling,date handling,Software Engineering,technical
SK_00130,Debugging,debugging,AI/ML,technical
SK_00131,Decision Making,decision making,Decision Making,transferable
SK_00132,Deep Learning,deep learning,AI/ML,technical
SK_00133,DeFi,defi,Blockchain,technical
SK_00134,DeFi Protocols,defi protocols,Blockchain,technical
SK_00135,Deployment,deployment,Cloud,technical
SK_00136,Design Patterns,design patterns,Architecture,technical
SK_00137,Design Systems,design systems,UI/UX,technical
SK_00138,DevOps,devops,Cloud,technical
SK_00139,Diffusion Models,diffusion models,Generative AI,technical
SK_00140,Digital Electronics,digital electronics,Electronics,technical
SK_00141,Digital Forensics,digital forensics,Cybersecurity,technical
SK_00142,DirectX,directx,Game Development,technical
SK_00143,Distributed Systems,distributed systems,Cloud,technical
SK_00144,Django,django,Backend Development,technical
SK_00145,Docker,docker,Cloud,technical
SK_00146,Docker Compose,docker compose,DevOps,technical
SK_00147,Docker Swarm,docker swarm,DevOps,technical
SK_00148,Document Databases,document databases,Database,technical
SK_00149,DOM Manipulation,dom manipulation,Frontend Development,technical
SK_00150,Domain-Driven Design,domain-driven design,Architecture,technical
SK_00151,Drag and Drop,drag and drop,Software Engineering,technical
SK_00152,Dynamic Analysis,dynamic analysis,Cybersecurity,technical
SK_00153,Dynamic Code Analysis (DAST),dynamic code analysis (dast),Cybersecurity,technical
SK_00154,DynamoDB,dynamodb,Database,technical
SK_00155,Edge Computing,edge computing,AI/ML,technical
SK_00156,Embedded C,embedded c,Embedded Systems,technical
SK_00157,Embedded Linux,embedded linux,Embedded Systems,technical
SK_00158,Embedded Systems,embedded systems,Cloud,technical
